name,link,flag_ratio,year_first.usage,year_current.ver,year_last.change,population,surface_sq.mi,density_sq.mi
"Netherlands, the",cdn.countryflags.com/thumbs/netherlands/flag-400.png,2:3,1572,1572,1937,17020060,16158,1053
Malawi,cdn.countryflags.com/thumbs/malawi/flag-400.png,2:3,1964,2012,1964,16832910,45747,368
Zambia,cdn.countryflags.com/thumbs/zambia/flag-400.png,2:3,1964,1964,1996,16694761,290585,57
Ecuador,cdn.countryflags.com/thumbs/ecuador/flag-400.png,2:3,1810,1860,1860,16278844,106889,152
Guatemala,cdn.countryflags.com/thumbs/guatemala/flag-400.png,5:8,1868,1871,1968,16176133,42042,385
Zimbabwe,cdn.countryflags.com/thumbs/zimbabwe/flag-400.png,1:2,1980,1980,1980,15967000,150872,106
Cambodia,cdn.countryflags.com/thumbs/cambodia/flag-400.png,2:3,1948,1993,1993,15626444,69898,224
Senegal,cdn.countryflags.com/thumbs/senegal/flag-400.png,2:3,-,1960,-,15587832,75955,205
Chad,cdn.countryflags.com/thumbs/chad/flag-400.png,2:3,-,1959,-,14497000,495755,29
Guinea,cdn.countryflags.com/thumbs/guinea/flag-400.png,2:3,-,1958,-,12947000,94926,136
South Sudan,cdn.countryflags.com/thumbs/south-sudan/flag-400.png,1:2,2005,2011,2011,12863280,239285,54
Rwanda,cdn.countryflags.com/thumbs/rwanda/flag-400.png,2:3,2001,2001,2001,11886284,10169,1169
Tunisia,cdn.countryflags.com/thumbs/tunisia/flag-400.png,2:3,1831,1831,1999,11379548,63170,180
Cuba,cdn.countryflags.com/thumbs/cuba/flag-400.png,1:2,1868,1902,1902,11238317,42426,265
Belgium,cdn.countryflags.com/thumbs/belgium/flag-400.png,13:15,1831,1831,1831,11190845,11787,949
Somalia,cdn.countryflags.com/thumbs/somalia/flag-400.png,2:3,-,1954,-,11079000,246201,45
Haiti,cdn.countryflags.com/thumbs/haiti/flag-400.png,3:5,1806,1986,1986,11078033,10714,1034
Bolivia,cdn.countryflags.com/thumbs/bolivia/flag-400.png,15:22,1851,1851,1851,10968232,424326,26
Benin,cdn.countryflags.com/thumbs/benin/flag-400.png,2:3,-,1959,-,10879829,44310,246
Greece,cdn.countryflags.com/thumbs/greece/flag-400.png,2:3,1822,1978,1978,10846979,50962,213
"Czech Republic, the",cdn.countryflags.com/thumbs/czech-republic/flag-400.png,2:3,1920,1993,1920,10541466,30450,346
Portugal,cdn.countryflags.com/thumbs/portugal/flag-400.png,2:3,1911,1911,1911,10374822,35556,292
Burundi,cdn.countryflags.com/thumbs/burundi/flag-400.png,3:5,1962,1967,1982,10114505,10747,941
"Dominican Republic, the",cdn.countryflags.com/thumbs/dominican-republic/flag-400.png,2:3,1844,1908,1908,10075045,18792,536
Azerbaijan,cdn.countryflags.com/thumbs/azerbaijan/flag-400.png,1:2,1918,1990,1918,9954134,33436,298
Sweden,cdn.countryflags.com/thumbs/sweden/flag-400.png,5:8,1562,1906,1906,9861992,173860,57
Hungary,cdn.countryflags.com/thumbs/hungary/flag-400.png,1:2,1848,1957,1956,9849000,35918,274
Belarus,cdn.countryflags.com/thumbs/belarus/flag-400.png,1:2,1951,1995,2012,9481000,80155,118
"United Arab Emirates, the",cdn.countryflags.com/thumbs/united-arab-emirates/flag-400.png,1:2,1971,1971,1971,9379687,32278,291
Serbia,cdn.countryflags.com/thumbs/serbia/flag-400.png,2:3,2004,2010,2010,8810579,34116,258
Tajikistan,cdn.countryflags.com/thumbs/tajikistan/flag-400.png,1:2,1992,1992,1992,8669869,55251,157
Austria,cdn.countryflags.com/thumbs/austria/flag-400.png,2:3,1230,1918,1230,8590621,32383,265
Honduras,cdn.countryflags.com/thumbs/honduras/flag-400.png,1:2,1823,1866,1933,8576532,43433,197
Israel,cdn.countryflags.com/thumbs/israel/flag-400.png,8:11,-,1948,-,8462000,8019,1055
Switzerland,cdn.countryflags.com/thumbs/switzerland/flag-400.png,1:1,1470,1889,1841,8398217,15940,527
Papua New Guinea,cdn.countryflags.com/thumbs/papua-new-guinea/flag-400.png,3:4,1971,1971,1971,7780000,178704,44
Jordan,cdn.countryflags.com/thumbs/jordan/flag-400.png,1:2,-,1920,1928,7748000,34495,225
Togo,cdn.countryflags.com/thumbs/togo/flag-400.png,1:1.618,-,1960,-,7497365,21925,342
Bulgaria,cdn.countryflags.com/thumbs/bulgaria/flag-400.png,3:5,1879,1991,1991,7364570,42811,172
Paraguay,cdn.countryflags.com/thumbs/paraguay/flag-400.png,11:20,1842,1842,2013,6726347,157048,43
Sierra Leone,cdn.countryflags.com/thumbs/sierra-leone/flag-400.png,2:3,-,1961,-,6595049,27699,238
El Salvador,cdn.countryflags.com/thumbs/el-salvador/flag-400.png,189:335,1912,1912,-,6520675,8124,803
Laos,cdn.countryflags.com/thumbs/laos/flag-400.png,2:3,1945,1975,1945,6472400,91429,71
Libya,cdn.countryflags.com/thumbs/libya/flag-400.png,1:2,1951,2011,1951,6330000,679362,9
Nicaragua,cdn.countryflags.com/thumbs/nicaragua/flag-400.png,3:5,1823,1971,1908,6198154,50337,123
Kyrgyzstan,cdn.countryflags.com/thumbs/kyrgyzstan/flag-400.png,3:5,1992,1992,1992,5975000,77202,77
Denmark,cdn.countryflags.com/thumbs/denmark/flag-400.png,28:37,1370,1370,1893,5699220,16639,343
Singapore,cdn.countryflags.com/thumbs/singapore/flag-400.png,2:3,-,1959,-,5535000,276,20022
Finland,cdn.countryflags.com/thumbs/finland/flag-400.png,11:18,-,1918,-,5496354,130666,42
Turkmenistan,cdn.countryflags.com/thumbs/turkmenistan/flag-400.png,2:3,1992,1992,2001,5441970,188456,29
Slovakia,cdn.countryflags.com/thumbs/slovakia/flag-400.png,2:3,1848,1992,1992,5430304,18933,287
Eritrea,cdn.countryflags.com/thumbs/eritrea/flag-400.png,1:2,1993,1993,1995,5352000,45406,118
